year,state,area
2004,Acre,728
2004,Amazonas,1232
2004,Amapa,46
2004,Maranhao,755
2004,Mato Grosso,11814
2004,Para,8870
2004,Rondonia,3858
2004,Roraima,311
2004,Tocantins,158
2005,Acre,592
2005,Amazonas,775
2005,Amapa,33
2005,Maranhao,922
2005,Mato Grosso,7145
2005,Para,5899
2005,Rondonia,3244
2005,Roraima,133
2005,Tocantins,271
2006,Acre,398
2006,Amazonas,788
2006,Amapa,30
2006,Maranhao,674
2006,Mato Grosso,4333
2006,Para,5659
2006,Rondonia,2049
2006,Roraima,231
2006,Tocantins,124
2007,Acre,184
2007,Amazonas,610
2007,Amapa,39
2007,Maranhao,631
2007,Mato Grosso,2678
2007,Para,5526
2007,Rondonia,1611
2007,Roraima,309
2007,Tocantins,63
2008,Acre,254
2008,Amazonas,604
2008,Amapa,100
2008,Maranhao,1271
2008,Mato Grosso,3258
2008,Para,5607
2008,Rondonia,1136
2008,Roraima,574
2008,Tocantins,107
2009,Acre,167
2009,Amazonas,405
2009,Amapa,70
2009,Maranhao,828
2009,Mato Grosso,1049
2009,Para,4281
2009,Rondonia,482
2009,Roraima,121
2009,Tocantins,61
2010,Acre,259
2010,Amazonas,595
2010,Amapa,53
2010,Maranhao,712
2010,Mato Grosso,871
2010,Para,3770
2010,Rondonia,435
2010,Roraima,256
2010,Tocantins,49
2011,Acre,280
2011,Amazonas,502
2011,Amapa,66
2011,Maranhao,396
2011,Mato Grosso,1120
2011,Para,3008
2011,Rondonia,865
2011,Roraima,141
2011,Tocantins,40
2012,Acre,305
2012,Amazonas,523
2012,Amapa,27
2012,Maranhao,269
2012,Mato Grosso,757
2012,Para,1741
2012,Rondonia,773
2012,Roraima,124
2012,Tocantins,52
2013,Acre,221
2013,Amazonas,583
2013,Amapa,23
2013,Maranhao,403
2013,Mato Grosso,1139
2013,Para,2346
2013,Rondonia,932
2013,Roraima,170
2013,Tocantins,74
2014,Acre,309
2014,Amazonas,500
2014,Amapa,31
2014,Maranhao,257
2014,Mato Grosso,1075
2014,Para,1887
2014,Rondonia,684
2014,Roraima,219
2014,Tocantins,50
2015,Acre,264
2015,Amazonas,712
2015,Amapa,25
2015,Maranhao,209
2015,Mato Grosso,1601
2015,Para,2153
2015,Rondonia,1030
2015,Roraima,156
2015,Tocantins,57
2016,Acre,372
2016,Amazonas,1129
2016,Amapa,17
2016,Maranhao,258
2016,Mato Grosso,1489
2016,Para,2992
2016,Rondonia,1376
2016,Roraima,202
2016,Tocantins,58
2017,Acre,257
2017,Amazonas,1001
2017,Amapa,24
2017,Maranhao,265
2017,Mato Grosso,1561
2017,Para,2433
2017,Rondonia,1243
2017,Roraima,132
2017,Tocantins,31
2018,Acre,444
2018,Amazonas,1045
2018,Amapa,24
2018,Maranhao,253
2018,Mato Grosso,1490
2018,Para,2744
2018,Rondonia,1316
2018,Roraima,195
2018,Tocantins,25
2019,Acre,688
2019,Amazonas,1421
2019,Amapa,8
2019,Maranhao,215
2019,Mato Grosso,1685
2019,Para,3862
2019,Rondonia,1245
2019,Roraima,617
2019,Tocantins,21
